Date;Price;Volume
2021-12-07;44.45;7889600
2021-12-08;43.41;10444800
2021-12-09;38.94;20337200
2021-12-10;39.75;18107600
2021-12-13;34.22;21944800
2021-12-14;36.92;26048400
2021-12-15;37.15;11064000
2021-12-16;36.15;8659200
2021-12-17;38.91;17226800
2021-12-20;39.28;7314400
2021-12-21;39.53;5720800
2021-12-22;38.5;4188800
2021-12-23;38.03;4222000
2021-12-27;37.08;6454400
2021-12-28;36.62;5324400
2021-12-29;38.48;8149600
2021-12-30;38.83;6247600
2021-12-31;37.1;5576000
2022-01-03;38.21;5654800
2022-01-04;37.23;7339600
2022-01-05;32.34;13585600
2022-01-06;32.76;24206000
2022-01-07;35.15;48549200
2022-01-10;32.79;22048000
2022-01-11;32.58;10332400
2022-01-12;32.01;6298000
2022-01-13;30.62;8901200
2022-01-14;29.16;15402000
2022-01-18;27.23;15022400
2022-01-19;26.64;9614400
2022-01-20;25.67;11680400
2022-01-21;26.59;22120000
2022-01-24;25.04;25039600
2022-01-25;24.95;14297200
2022-01-26;25.82;33330000
2022-01-27;23.38;14644400
2022-01-28;24.48;16430400
2022-01-31;27.23;13997200
2022-02-01;28.15;13847600
2022-02-02;25.01;13116400
2022-02-03;24.81;10710000
2022-02-04;25.58;7627200
2022-02-07;25.58;7037600
2022-02-08;28.9;19839600
2022-02-09;31.07;15467600
2022-02-10;30.62;14826000
2022-02-11;31.06;11299200
2022-02-14;29.27;9102800
2022-02-15;31.54;7911600
2022-02-16;32.08;8007600
2022-02-17;30.85;6256400
2022-02-18;30.38;6214000
2022-02-22;29.51;6156400
2022-02-23;28.72;5393200
2022-02-24;31.15;9024800
2022-02-25;29.65;6841200
2022-02-28;30.83;6458000
2022-03-01;29.75;4384000
2022-03-02;30.49;5242800
2022-03-03;29.6;4382400
2022-03-04;27.92;5911200
2022-03-07;24.84;12591600
2022-03-08;25.75;8536000
2022-03-09;26.3;5598400
2022-03-10;25.14;5582000
2022-03-11;23.17;8822000
2022-03-14;19.53;18134400
2022-03-15;20.66;14115200
2022-03-16;21.72;10615600
2022-03-17;21.92;13796400
2022-03-18;22.7;35688400
2022-03-21;23.55;15812400
2022-03-22;30.78;60068800
2022-03-23;35.25;98399200
2022-03-24;35.6;36400800
2022-03-25;37.99;53535600
2022-03-28;47.4;65266000
2022-03-29;44.97;72046000
2022-03-30;41.71;36676800
2022-03-31;41.65;44968800
2022-04-01;41.25;52758400
2022-04-04;42.68;18519200
2022-04-05;38.4;15825200
2022-04-06;39.16;16268000
2022-04-07;37.5;15311200
2022-04-08;36.55;10371600
2022-04-11;36.73;9812000
2022-04-12;36.22;7996400
2022-04-13;37.67;8032800
2022-04-14;37.69;10002400
2022-04-18;35.37;9871200
2022-04-19;38.12;9416800
2022-04-20;37.21;4648000
2022-04-21;35.39;6737600
2022-04-22;34.56;6278400
2022-04-25;33.99;6139200
2022-04-26;31.9;6182800
2022-04-27;32.46;5223600
2022-04-28;32.33;7070000
2022-04-29;31.27;5143600
2022-05-02;29.89;10172000
2022-05-03;30.11;7312800
2022-05-04;31.77;6651200
2022-05-05;29.78;7015600
2022-05-06;28.67;7161600
2022-05-09;24.7;13264800
2022-05-10;23.38;16603200
2022-05-11;20.33;16681200
2022-05-12;22.39;40139600
2022-05-13;24.6;23930800
2022-05-16;22.95;11582000
2022-05-17;25.09;10444800
2022-05-18;22.87;11560000
2022-05-19;24.8;12720400
2022-05-20;23.92;9972000
2022-05-23;24.03;6994000
2022-05-24;22.29;8879600
2022-05-25;28.79;40060000
2022-05-26;32.12;57892400
2022-05-27;34.3;30045200
2022-05-31;31.18;19084400
2022-06-01;30.35;14991600
2022-06-02;33.5;27918800
2022-06-03;33.42;18234400
2022-06-06;32.03;9532800
2022-06-07;36.63;24967600
2022-06-08;34.68;24473600
2022-06-09;32.24;13114400
2022-06-10;32.27;11820000
2022-06-13;29.56;13792800
2022-06-14;31.54;12739200
2022-06-15;32.32;10764400
2022-06-16;31.43;9995200
2022-06-17;33.78;12340800
2022-06-21;35.07;12512400
2022-06-22;34.62;7838000
2022-06-23;35.51;6682800
2022-06-24;33.8;16995600
2022-06-27;32.42;9745600
2022-06-28;31.09;6610000
2022-06-29;30.72;6826400
2022-06-30;30.58;6718800
2022-07-01;30.85;6617200
2022-07-05;30.06;6036000
2022-07-06;29.36;9988800
2022-07-07;33.78;30313600
2022-07-08;32.13;13199600
2022-07-11;32.52;7532800
2022-07-12;34.28;16899600
2022-07-13;35.32;13703600
2022-07-14;34.05;20970400
2022-07-15;35.41;9832400
2022-07-18;36.66;11155200
2022-07-19;37.92;12828000
2022-07-20;39.69;11400400
2022-07-21;38.37;9277600
2022-07-22;35.78;10060200
2022-07-25;33.98;5686300
2022-07-26;32.43;4866100
2022-07-27;33.78;4251200
2022-07-28;33.84;3207400
2022-07-29;34.01;3988800
2022-08-01;34.78;4196600
2022-08-02;35.84;4697100
2022-08-03;37.93;5186500
2022-08-04;38.36;5421500
2022-08-05;40.02;8124200
2022-08-08;43.45;17987100
2022-08-09;40.37;6954200
2022-08-10;40.53;5434700
2022-08-11;39.45;5140500
2022-08-12;40.74;5120000
2022-08-15;39.68;5243100
2022-08-16;42.19;23602800
2022-08-17;40.52;9766400
2022-08-18;37.93;8145400
2022-08-19;36.49;9551900
2022-08-22;34.5;5798600
2022-08-23;33.53;4836300
2022-08-24;32.5;5620300
2022-08-25;31.96;4726300
2022-08-26;30.94;4297300
2022-08-29;31.55;4292700
2022-08-30;29.84;5060200
2022-08-31;28.64;5157000
2022-09-01;27.63;5293900
2022-09-02;27.36;4680100
2022-09-06;25.14;7010200
2022-09-07;24.04;12504700
2022-09-08;25.83;14142200
2022-09-09;28.92;7899800
2022-09-12;29.24;6175200
2022-09-13;27.85;3657200
2022-09-14;28.13;3605800
